 A JE                    137-131-8227     1969
 FOOL BJXUKS             583-066-1435     3903
 FOOL BJXUKS             583-066-1435      854
 FOOL BJXUKS             583-066-1435     6917
 FOOL BJXUKS             583-066-1435     3627
 FOOL BJXUKS             583-066-1435     5042
 FOOL BJXUKS             583-066-1435      159
 FOOL BJXUKS             583-066-1435     2205
 FOOL BJXUKS             583-066-1435     7283
 FOOL BJXUKS             583-066-1435     7575
 FOOL BJXUKS             583-066-1435     1406
 FOOL BJXUKS             583-066-1435     5777
 FOOL BJXUKS             583-066-1435     6371
 FOOL BJXUKS             583-066-1435     3160
 FP J                    556-873-7842     7513
 FP J                    556-873-7842     3841
 FP J                    556-873-7842     3565
 FP J                    556-873-7842     1344
 FP J                    556-873-7842     6855
 FP J                    556-873-7842     5715
 FP J                    556-873-7842       97
 FP J                    556-873-7842     7221
 FP J                    556-873-7842     4980
 FP J                    556-873-7842     4435
 FP J                    556-873-7842     3098
 FP J                    556-873-7842     6309
 FP J                    556-873-7842     7740
 FP J                    556-873-7842     5510
 FP J                    556-873-7842     2600
 FP J                    556-873-7842     2143
 FP J                    556-873-7842      792
 FQGJTXSAH MAVYG         211-472-9575     1889
 FQGJTXSAH MAVYG         211-472-9575      642
 FQLJS LC                391-398-5507     5277
 FQLJS LC                391-398-5507     2440
 FQLJS LC                391-398-5507     4732
 FQLJS LC                391-398-5507     1089
 FQLJS LC                391-398-5507      394
 FQLJS LC                391-398-5507     1641
 FQLJS LC                391-398-5507     6012
 FQLJS LC                391-398-5507     6606
 FQLJS LC                391-398-5507     4138
 FQLJS LC                391-398-5507     3395
 FQLJS LC                391-398-5507     2897
 FQUPSGFLND JLUAOJ       122-660-6319     5920
 FQUPSGFLND JLUAOJ       122-660-6319     6514
 FQUPSGFLND JLUAOJ       122-660-6319      302
 FQUPSGFLND JLUAOJ       122-660-6319     7945
 FQUPSGFLND JLUAOJ       122-660-6319      997
 FQUPSGFLND JLUAOJ       122-660-6319     2348
 FQUPSGFLND JLUAOJ       122-660-6319     4046
 FQUPSGFLND JLUAOJ       122-660-6319     1549
 FQUPSGFLND JLUAOJ       122-660-6319     3303
 FQUPSGFLND JLUAOJ       122-660-6319     4640
 FQUPSGFLND JLUAOJ       122-660-6319     2805
 FQUPSGFLND JLUAOJ       122-660-6319     5185
 FQUPSGFLND JLUAOJ       122-660-6319     7060
 FQUWKHOGJC IMYAFYIK     686-465-0992     2022
 FR MNCROSWK             039-390-9043     4209
 FR MNCROSWK             039-390-9043     5348
 FR MNCROSWK             039-390-9043      465
 FR MNCROSWK             039-390-9043     6083
 FR MNCROSWK             039-390-9043     1712
 FR MNCROSWK             039-390-9043     3466
 FR MNCROSWK             039-390-9043     2968
 FR MNCROSWK             039-390-9043     1160
 FR MNCROSWK             039-390-9043     4803
 FR MNCROSWK             039-390-9043     6677
 FROTXAX MGFH            336-065-7740     2024
 FTDSXEC NBBUHSP         649-698-3372     1981
 FUMWIKTRTOQY FGFUBEM    096-716-1405     7195
 FUMWIKTRTOQY FGFUBEM    096-716-1405     7487
 FUMWIKTRTOQY FGFUBEM    096-716-1405     6283
 FUMWIKTRTOQY FGFUBEM    096-716-1405     2574
 FUMWIKTRTOQY FGFUBEM    096-716-1405     3072
 FUMWIKTRTOQY FGFUBEM    096-716-1405     4409
 FUMWIKTRTOQY FGFUBEM    096-716-1405      766
 FUMWIKTRTOQY FGFUBEM    096-716-1405     2117
 FUMWIKTRTOQY FGFUBEM    096-716-1405     1318
 FUMWIKTRTOQY FGFUBEM    096-716-1405     5689
 FUMWIKTRTOQY FGFUBEM    096-716-1405     5484
 FUMWIKTRTOQY FGFUBEM    096-716-1405     3539
 FUMWIKTRTOQY FGFUBEM    096-716-1405     7714
 FUMWIKTRTOQY FGFUBEM    096-716-1405       71
 FUMWIKTRTOQY FGFUBEM    096-716-1405     4954
 FUMWIKTRTOQY FGFUBEM    096-716-1405     3815
 FUMWIKTRTOQY FGFUBEM    096-716-1405     6829
 FUORVHC ACQUJDU         926-194-5514     3573
 FUORVHC ACQUJDU         926-194-5514     2151
 FUORVHC ACQUJDU         926-194-5514     3106
 FUORVHC ACQUJDU         926-194-5514     6317
 FUORVHC ACQUJDU         926-194-5514     6863
 FUORVHC ACQUJDU         926-194-5514     4988
 FUORVHC ACQUJDU         926-194-5514      105
 FUORVHC ACQUJDU         926-194-5514     7229
 FUORVHC ACQUJDU         926-194-5514     3849
 FUORVHC ACQUJDU         926-194-5514     7521
 FUORVHC ACQUJDU         926-194-5514     4443
 FUORVHC ACQUJDU         926-194-5514     1352
 FUORVHC ACQUJDU         926-194-5514     2608
 FUORVHC ACQUJDU         926-194-5514     7748
 FUORVHC ACQUJDU         926-194-5514     5518
 FUORVHC ACQUJDU         926-194-5514      800
 FUORVHC ACQUJDU         926-194-5514     5723
 FVHTSPPLWY TSLTS        690-129-6000     2358
 FVHTSPPLWY TSLTS        690-129-6000      312
 FVHTSPPLWY TSLTS        690-129-6000     4056
 FVHTSPPLWY TSLTS        690-129-6000     7955
 FVHTSPPLWY TSLTS        690-129-6000     3313
 FVHTSPPLWY TSLTS        690-129-6000     4650
 FVHTSPPLWY TSLTS        690-129-6000     1007
 FVHTSPPLWY TSLTS        690-129-6000     2815
 FVHTSPPLWY TSLTS        690-129-6000     5930
 FVHTSPPLWY TSLTS        690-129-6000     1559
 FVHTSPPLWY TSLTS        690-129-6000     6524
 FVHTSPPLWY TSLTS        690-129-6000     5195
 FVHTSPPLWY TSLTS        690-129-6000     7070
 FYTSGTYSEP H            349-057-7728      617
 FYTSGTYSEP H            349-057-7728     1864
 G LNQWPYUN              800-099-5639     1750
 G LNQWPYUN              800-099-5639     4247
 G LNQWPYUN              800-099-5639     1198
 G LNQWPYUN              800-099-5639      503
 G LNQWPYUN              800-099-5639     5386
 G LNQWPYUN              800-099-5639     6121
 G LNQWPYUN              800-099-5639     4841
 G LNQWPYUN              800-099-5639     6715
 GAM JUJ                 871-052-5715     1890
 GAM JUJ                 871-052-5715      643
 GAVSHGI M               507-558-1733     7095
 GAVSHGI M               507-558-1733     3338
 GAVSHGI M               507-558-1733      337
 GAVSHGI M               507-558-1733     2383
 GAVSHGI M               507-558-1733     1584
 GAVSHGI M               507-558-1733     1032
 GAVSHGI M               507-558-1733     4675
 GAVSHGI M               507-558-1733     5220
 GAVSHGI M               507-558-1733     2840
 GAVSHGI M               507-558-1733     5955
 GAVSHGI M               507-558-1733     7980
 GAVSHGI M               507-558-1733     6549
 GAVSHGI M               507-558-1733     4081
 GDKHMXFBG WVVHLXBK      967-415-2811     1929
 GDKHMXFBG WVVHLXBK      967-415-2811      682
 GGKNOALICI ALDKXOP      296-463-8261      469
 GGKNOALICI ALDKXOP      296-463-8261     2972
 GGKNOALICI ALDKXOP      296-463-8261     6087
 GGKNOALICI ALDKXOP      296-463-8261     5352
 GGKNOALICI ALDKXOP      296-463-8261     4213
 GGKNOALICI ALDKXOP      296-463-8261     6681
 GGKNOALICI ALDKXOP      296-463-8261     1716
 GGKNOALICI ALDKXOP      296-463-8261     1164
 GGKNOALICI ALDKXOP      296-463-8261     4807
 GGYQMGPDXS HQ           752-025-5987     6247
 GGYQMGPDXS HQ           752-025-5987     3036
 GGYQMGPDXS HQ           752-025-5987     2538
 GGYQMGPDXS HQ           752-025-5987     4373
 GGYQMGPDXS HQ           752-025-5987     3503
 GGYQMGPDXS HQ           752-025-5987     7678
 GGYQMGPDXS HQ           752-025-5987       35
 GGYQMGPDXS HQ           752-025-5987     5448
 GGYQMGPDXS HQ           752-025-5987     7451
 GGYQMGPDXS HQ           752-025-5987      730
 GGYQMGPDXS HQ           752-025-5987     6793
 GGYQMGPDXS HQ           752-025-5987     2081
 GGYQMGPDXS HQ           752-025-5987     4918
 GGYQMGPDXS HQ           752-025-5987     5653
 GGYQMGPDXS HQ           752-025-5987     1282
 GGYQMGPDXS HQ           752-025-5987     7159
 GGYQMGPDXS HQ           752-025-5987     3779
 GHRWDNVKGWSLIF EFMI     860-775-2492     5009
 GHRWDNVKGWSLIF EFMI     860-775-2492     6338
 GHRWDNVKGWSLIF EFMI     860-775-2492     6884
 GHRWDNVKGWSLIF EFMI     860-775-2492     2629
 GHRWDNVKGWSLIF EFMI     860-775-2492      126
 GHRWDNVKGWSLIF EFMI     860-775-2492     3594
 GHRWDNVKGWSLIF EFMI     860-775-2492     7769
 GHRWDNVKGWSLIF EFMI     860-775-2492     3127
 GHRWDNVKGWSLIF EFMI     860-775-2492     7250
 GHRWDNVKGWSLIF EFMI     860-775-2492      821
 GHRWDNVKGWSLIF EFMI     860-775-2492     5744
 GHRWDNVKGWSLIF EFMI     860-775-2492     2172
 GHRWDNVKGWSLIF EFMI     860-775-2492     3870
 GHRWDNVKGWSLIF EFMI     860-775-2492     7542
 GHRWDNVKGWSLIF EFMI     860-775-2492     1373
 GHRWDNVKGWSLIF EFMI     860-775-2492     5539
 GHRWDNVKGWSLIF EFMI     860-775-2492     4464
 GJBME S                 679-367-0960     7035
 GJBME S                 679-367-0960     1524
 GJBME S                 679-367-0960     7920
 GJBME S                 679-367-0960     2780
 GJBME S                 679-367-0960     5895
 GJBME S                 679-367-0960     7401
 GJBME S                 679-367-0960     6489
 GJBME S                 679-367-0960     4021
 GJBME S                 679-367-0960     4615
 GJBME S                 679-367-0960      972
 GJBME S                 679-367-0960      277
 GJBME S                 679-367-0960     5160
 GJBME S                 679-367-0960     2323
 GJBME S                 679-367-0960     3278
 GJOOQQVX H              402-392-0518     4086
 GJOOQQVX H              402-392-0518     2388
 GJOOQQVX H              402-392-0518     7985
 GJOOQQVX H              402-392-0518     4680
 GJOOQQVX H              402-392-0518     6554
 GJOOQQVX H              402-392-0518     1589
 GJOOQQVX H              402-392-0518     1037
 GJOOQQVX H              402-392-0518     2845
 GJOOQQVX H              402-392-0518     5225
 GJOOQQVX H              402-392-0518      342
 GJOOQQVX H              402-392-0518     5960
 GJOOQQVX H              402-392-0518     3343
 GJOOQQVX H              402-392-0518     7100
 GKC GWHXCR              170-300-6154     7909
 GKC GWHXCR              170-300-6154     6478
 GKC GWHXCR              170-300-6154      266
 GKC GWHXCR              170-300-6154     7390
 GKC GWHXCR              170-300-6154     5884
 GKC GWHXCR              170-300-6154     4010
 GKC GWHXCR              170-300-6154     3267
 GKC GWHXCR              170-300-6154     7024
 GKC GWHXCR              170-300-6154     2769
 GKC GWHXCR              170-300-6154     4604
 GKC GWHXCR              170-300-6154      961
 GKC GWHXCR              170-300-6154     1513
 GKC GWHXCR              170-300-6154     2312
 GKC GWHXCR              170-300-6154     5149
 GKC GWHXCR              170-300-6154     3734
 GKSPFUOKSFKL S          923-815-2214        2
 GKSPFUOKSFKL S          923-815-2214     6760
 GKSPFUOKSFKL S          923-815-2214     4340
 GKSPFUOKSFKL S          923-815-2214     7126
 GKSPFUOKSFKL S          923-815-2214     4885
 GKSPFUOKSFKL S          923-815-2214     3003
 GKSPFUOKSFKL S          923-815-2214     2505
 GKSPFUOKSFKL S          923-815-2214     6214
 GKSPFUOKSFKL S          923-815-2214     7418
 GKSPFUOKSFKL S          923-815-2214     5620
 GKSPFUOKSFKL S          923-815-2214     3470
 GKSPFUOKSFKL S          923-815-2214     5415
 GKSPFUOKSFKL S          923-815-2214     7645
 GKSPFUOKSFKL S          923-815-2214     3746
 GKSPFUOKSFKL S          923-815-2214      697
 GKSPFUOKSFKL S          923-815-2214     2048
 GKSPFUOKSFKL S          923-815-2214     1249
 GLAEJX QIRBYUQF         963-484-4394     4338
 GLAEJX QIRBYUQF         963-484-4394      594
 GLAEJX QIRBYUQF         963-484-4394     1841
 GLAEJX QIRBYUQF         963-484-4394     6212
 GLVAYHS BA              024-360-3035     1847
 GLVAYHS BA              024-360-3035      600
 GMOGESL WCPRDOE         237-034-0064     5308
 GMOGESL WCPRDOE         237-034-0064     6043
 GMOGESL WCPRDOE         237-034-0064     1672
 GMOGESL WCPRDOE         237-034-0064     3426
 GMOGESL WCPRDOE         237-034-0064     6637
 GMOGESL WCPRDOE         237-034-0064     4763
 GMOGESL WCPRDOE         237-034-0064     2928
 GMOGESL WCPRDOE         237-034-0064      425
 GMOGESL WCPRDOE         237-034-0064     4169
 GMOGESL WCPRDOE         237-034-0064     1120
 GMOGESL WCPRDOE         237-034-0064     2471
 GNMCSNQFACKFN T         825-336-4357     1382
 GNMCSNQFACKFN T         825-336-4357     5548
 GNMCSNQFACKFN T         825-336-4357     6347
 GNMCSNQFACKFN T         825-336-4357     4473
 GNMCSNQFACKFN T         825-336-4357     3879
 GNMCSNQFACKFN T         825-336-4357     6893
 GNMCSNQFACKFN T         825-336-4357     2181
 GNMCSNQFACKFN T         825-336-4357     7259
 GNMCSNQFACKFN T         825-336-4357      830
 GNMCSNQFACKFN T         825-336-4357     7778
 GNMCSNQFACKFN T         825-336-4357     5753
 GNMCSNQFACKFN T         825-336-4357     2638
 GNMCSNQFACKFN T         825-336-4357     5018
 GNMCSNQFACKFN T         825-336-4357     3136
 GNMCSNQFACKFN T         825-336-4357     7551
 GNMCSNQFACKFN T         825-336-4357     3603
 GNMCSNQFACKFN T         825-336-4357      135
 GQAPRGX WAVA            314-565-7049      963
 GQAPRGX WAVA            314-565-7049     4012
 GQAPRGX WAVA            314-565-7049     2314
 GQAPRGX WAVA            314-565-7049     7911
 GQAPRGX WAVA            314-565-7049     1515
 GQAPRGX WAVA            314-565-7049     7392
 GQAPRGX WAVA            314-565-7049     2771
 GQAPRGX WAVA            314-565-7049     4606
 GQAPRGX WAVA            314-565-7049     3269
 GQAPRGX WAVA            314-565-7049     5151
 GQAPRGX WAVA            314-565-7049     7026
 GQAPRGX WAVA            314-565-7049     6480
 GQAPRGX WAVA            314-565-7049     5886
 GQAPRGX WAVA            314-565-7049     3736
 GQAPRGX WAVA            314-565-7049      268
 GQEQTIKDABDXSE V        981-252-2585     6352
 GQEQTIKDABDXSE V        981-252-2585     7264
 GQEQTIKDABDXSE V        981-252-2585     7783
 GQEQTIKDABDXSE V        981-252-2585     3608
 GQEQTIKDABDXSE V        981-252-2585     5023
 GQEQTIKDABDXSE V        981-252-2585     3141
 GQEQTIKDABDXSE V        981-252-2585     7556
 GQEQTIKDABDXSE V        981-252-2585     4478
 GQEQTIKDABDXSE V        981-252-2585      835
 GQEQTIKDABDXSE V        981-252-2585     6898
 GQEQTIKDABDXSE V        981-252-2585     5553
 GQEQTIKDABDXSE V        981-252-2585     2643
 GQEQTIKDABDXSE V        981-252-2585     5758
 GQEQTIKDABDXSE V        981-252-2585     2186
 GQEQTIKDABDXSE V        981-252-2585     1387
 GQEQTIKDABDXSE V        981-252-2585     3884
 GQEQTIKDABDXSE V        981-252-2585      140
 GQNDR NEIHFRVB          205-473-7635     1985
 GQQAWHIR CCFMYR         730-898-3373     4264
 GQQAWHIR CCFMYR         730-898-3373     1767
 GQQAWHIR CCFMYR         730-898-3373     4858
 GQQAWHIR CCFMYR         730-898-3373     5403
 GQQAWHIR CCFMYR         730-898-3373     6732
 GQQAWHIR CCFMYR         730-898-3373     6138
 GQQAWHIR CCFMYR         730-898-3373     1215
 GQQAWHIR CCFMYR         730-898-3373      520
 GRIDFIRPFHDC WQHA       222-552-5004     1410
 GRIDFIRPFHDC WQHA       222-552-5004     5046
 GRIDFIRPFHDC WQHA       222-552-5004     4501
 GRIDFIRPFHDC WQHA       222-552-5004      858
 GRIDFIRPFHDC WQHA       222-552-5004     7579
 GRIDFIRPFHDC WQHA       222-552-5004      163
 GRIDFIRPFHDC WQHA       222-552-5004     7806
 GRIDFIRPFHDC WQHA       222-552-5004     6375
 GRIDFIRPFHDC WQHA       222-552-5004     7287
 GRIDFIRPFHDC WQHA       222-552-5004     3631
 GRIDFIRPFHDC WQHA       222-552-5004     5576
 GRIDFIRPFHDC WQHA       222-552-5004     2209
 GRIDFIRPFHDC WQHA       222-552-5004     3907
 GRIDFIRPFHDC WQHA       222-552-5004     6921
 GRIDFIRPFHDC WQHA       222-552-5004     2666
 GRIDFIRPFHDC WQHA       222-552-5004     3164
 GRIDFIRPFHDC WQHA       222-552-5004     5781
 GSACHRGWHH RWMFWYHJ     178-642-6094     6779
 GSACHRGWHH RWMFWYHJ     178-642-6094     2067
 GSACHRGWHH RWMFWYHJ     178-642-6094     7664
 GSACHRGWHH RWMFWYHJ     178-642-6094     6233
 GSACHRGWHH RWMFWYHJ     178-642-6094     5434
 GSACHRGWHH RWMFWYHJ     178-642-6094     2524
 GSACHRGWHH RWMFWYHJ     178-642-6094     7437
 GSACHRGWHH RWMFWYHJ     178-642-6094     3489
 GSACHRGWHH RWMFWYHJ     178-642-6094     5639
 GSACHRGWHH RWMFWYHJ     178-642-6094     3765
 GSACHRGWHH RWMFWYHJ     178-642-6094      716
 GSACHRGWHH RWMFWYHJ     178-642-6094     7145
 GSACHRGWHH RWMFWYHJ     178-642-6094     3022
 GSACHRGWHH RWMFWYHJ     178-642-6094       21
 GSACHRGWHH RWMFWYHJ     178-642-6094     1268
 GSACHRGWHH RWMFWYHJ     178-642-6094     4359
 GSACHRGWHH RWMFWYHJ     178-642-6094     4904
 GSJUHLOMTMNMP ROS       804-394-3771     5967
 GSJUHLOMTMNMP ROS       804-394-3771     7992
 GSJUHLOMTMNMP ROS       804-394-3771     2852
 GSJUHLOMTMNMP ROS       804-394-3771     7107
 GSJUHLOMTMNMP ROS       804-394-3771     1044
 GSJUHLOMTMNMP ROS       804-394-3771     2395
 GSJUHLOMTMNMP ROS       804-394-3771     6561
 GSJUHLOMTMNMP ROS       804-394-3771     5232
 GSJUHLOMTMNMP ROS       804-394-3771      349
 GSJUHLOMTMNMP ROS       804-394-3771     3350
 GSJUHLOMTMNMP ROS       804-394-3771     1596
 GSJUHLOMTMNMP ROS       804-394-3771     4093
 GSJUHLOMTMNMP ROS       804-394-3771     4687
 GSMXSG C                717-676-1737     2994
 GSMXSG C                717-676-1737     4235
 GSMXSG C                717-676-1737     1186
 GSMXSG C                717-676-1737     4829
 GSMXSG C                717-676-1737     1738
 GSMXSG C                717-676-1737     6109
 GSMXSG C                717-676-1737     5374
 GSMXSG C                717-676-1737      491
 GSMXSG C                717-676-1737     6703
 GT ASWJR                329-981-6662     7583
 GT ASWJR                329-981-6662     2213
 GT ASWJR                329-981-6662      862
 GT ASWJR                329-981-6662     6379
 GT ASWJR                329-981-6662     7291
 GT ASWJR                329-981-6662     5050
 GT ASWJR                329-981-6662     5580
 GT ASWJR                329-981-6662     1414
 GT ASWJR                329-981-6662     4505
 GT ASWJR                329-981-6662     7810
 GT ASWJR                329-981-6662     3635
 GT ASWJR                329-981-6662     6925
 GT ASWJR                329-981-6662     3168
 GT ASWJR                329-981-6662      167
 GT ASWJR                329-981-6662     2670
 GT ASWJR                329-981-6662     5785
 GT ASWJR                329-981-6662     3911
 GTLH PIWI               257-422-7225     1228
 GTLH PIWI               257-422-7225     6151
 GTLH PIWI               257-422-7225     6745
 GTLH PIWI               257-422-7225     4871
 GTLH PIWI               257-422-7225      533
 GTLH PIWI               257-422-7225     1780
 GTLH PIWI               257-422-7225     4277
 GTNKB CJO               864-457-3995      656
 GTNKB CJO               864-457-3995     1903
 GVQ WQFT                635-081-5607     5272
 GVQ WQFT                635-081-5607     4727
 GVQ WQFT                635-081-5607     1084
 GVQ WQFT                635-081-5607     1636
 GVQ WQFT                635-081-5607     2435
 GVQ WQFT                635-081-5607     6601
 GVQ WQFT                635-081-5607     2892
 GVQ WQFT                635-081-5607     3390
 GVQ WQFT                635-081-5607     4133
 GVQ WQFT                635-081-5607     6007
 GVQ WQFT                635-081-5607      389
 GVTAPGUHOBEP MD         784-403-9615     7707
 GVTAPGUHOBEP MD         784-403-9615     3065
 GVTAPGUHOBEP MD         784-403-9615       64
 GVTAPGUHOBEP MD         784-403-9615     1311
 GVTAPGUHOBEP MD         784-403-9615     6276
 GVTAPGUHOBEP MD         784-403-9615     2567
 GVTAPGUHOBEP MD         784-403-9615     4402
 GVTAPGUHOBEP MD         784-403-9615     5682
 GVTAPGUHOBEP MD         784-403-9615     7480
 GVTAPGUHOBEP MD         784-403-9615     2110
 GVTAPGUHOBEP MD         784-403-9615     5477
 GVTAPGUHOBEP MD         784-403-9615     4947
 GVTAPGUHOBEP MD         784-403-9615     3808
 GVTAPGUHOBEP MD         784-403-9615      759
 GVTAPGUHOBEP MD         784-403-9615     7188
 GVTAPGUHOBEP MD         784-403-9615     6822
 GVTAPGUHOBEP MD         784-403-9615     3532
 GVXS EQOOBTF            601-189-5306     5230
 GVXS EQOOBTF            601-189-5306     2850
 GVXS EQOOBTF            601-189-5306     1594
 GVXS EQOOBTF            601-189-5306      347
 GVXS EQOOBTF            601-189-5306     7105
 GVXS EQOOBTF            601-189-5306     3348
 GVXS EQOOBTF            601-189-5306     6559
 GVXS EQOOBTF            601-189-5306     1042
 GVXS EQOOBTF            601-189-5306     5965
 GVXS EQOOBTF            601-189-5306     4685
 GVXS EQOOBTF            601-189-5306     4091
 GVXS EQOOBTF            601-189-5306     7990
 GVXS EQOOBTF            601-189-5306     2393
 GWCFVKNHNYQ QNDM        860-872-0966     7632
 GWCFVKNHNYQ QNDM        860-872-0966     2719
 GWCFVKNHNYQ QNDM        860-872-0966     7340
 GWCFVKNHNYQ QNDM        860-872-0966      216
 GWCFVKNHNYQ QNDM        860-872-0966     2262
 GWCFVKNHNYQ QNDM        860-872-0966     3684
 GWCFVKNHNYQ QNDM        860-872-0966     5099
 GWCFVKNHNYQ QNDM        860-872-0966     3960
 GWCFVKNHNYQ QNDM        860-872-0966     1463
 GWCFVKNHNYQ QNDM        860-872-0966      911
 GWCFVKNHNYQ QNDM        860-872-0966     7859
 GWCFVKNHNYQ QNDM        860-872-0966     3217
 GWCFVKNHNYQ QNDM        860-872-0966     5834
 GWCFVKNHNYQ QNDM        860-872-0966     4554
 GWCFVKNHNYQ QNDM        860-872-0966     6428
 GWCFVKNHNYQ QNDM        860-872-0966     6974
 GWSGTTCXXKECQ VANRNKQF  487-132-9801     1895
 GWSGTTCXXKECQ VANRNKQF  487-132-9801      648
 GXGET TMTRW             184-083-3362     2366
 GXGET TMTRW             184-083-3362      320
 GXGET TMTRW             184-083-3362     2823
 GXGET TMTRW             184-083-3362     4658
 GXGET TMTRW             184-083-3362     7963
 GXGET TMTRW             184-083-3362     7078
 GXGET TMTRW             184-083-3362     5938
 GXGET TMTRW             184-083-3362     4064
 GXGET TMTRW             184-083-3362     1567
 GXGET TMTRW             184-083-3362     6532
 GXGET TMTRW             184-083-3362     1015
 GXGET TMTRW             184-083-3362     3321
 GXGET TMTRW             184-083-3362     5203
 GXGPHENGG DKKEJ         212-315-3004     4298
 GXGPHENGG DKKEJ         212-315-3004      554
 GXGPHENGG DKKEJ         212-315-3004     1801
 GXGPHENGG DKKEJ         212-315-3004     6172
 GXR YL                  286-213-0926     4646
 GXR YL                  286-213-0926     7951
 GXR YL                  286-213-0926     1555
 GXR YL                  286-213-0926     7066
 GXR YL                  286-213-0926     4052
 GXR YL                  286-213-0926     3309
 GXR YL                  286-213-0926     1003
 GXR YL                  286-213-0926     6520
 GXR YL                  286-213-0926     5191
 GXR YL                  286-213-0926     2354
 GXR YL                  286-213-0926      308
 GXR YL                  286-213-0926     2811
 GXR YL                  286-213-0926     5926
 GYYV MO                 851-899-2950     7959
 GYYV MO                 851-899-2950     4654
 GYYV MO                 851-899-2950     1563
 GYYV MO                 851-899-2950     5199
 GYYV MO                 851-899-2950     5934
 GYYV MO                 851-899-2950     6528
 GYYV MO                 851-899-2950     4060
 GYYV MO                 851-899-2950     3317
 GYYV MO                 851-899-2950      316
 GYYV MO                 851-899-2950     1011
 GYYV MO                 851-899-2950     2819
 GYYV MO                 851-899-2950     7074
 GYYV MO                 851-899-2950     2362
 H BADOOXH               528-598-9018     1087
 H BADOOXH               528-598-9018     1639
 H BADOOXH               528-598-9018     6604
 H BADOOXH               528-598-9018      392
 H BADOOXH               528-598-9018     6010
 H BADOOXH               528-598-9018     3393
 H BADOOXH               528-598-9018     2438
 H BADOOXH               528-598-9018     2895
 H BADOOXH               528-598-9018     4730
 H BADOOXH               528-598-9018     4136
 H BADOOXH               528-598-9018     5275
 H JYMDKTN               421-654-8947     6747
 H JYMDKTN               421-654-8947     1782
 H JYMDKTN               421-654-8947     4873
 H JYMDKTN               421-654-8947     1230
 H JYMDKTN               421-654-8947      535
 H JYMDKTN               421-654-8947     6153
 H JYMDKTN               421-654-8947     4279
 H VFSEWPO               862-561-9065     5699
 H VFSEWPO               862-561-9065     4964
 H VFSEWPO               862-561-9065      776
 H VFSEWPO               862-561-9065     3082
 H VFSEWPO               862-561-9065     7497
 H VFSEWPO               862-561-9065       81
 H VFSEWPO               862-561-9065     7205
 H VFSEWPO               862-561-9065     2127
 H VFSEWPO               862-561-9065     6839
 H VFSEWPO               862-561-9065     3825
 H VFSEWPO               862-561-9065     7724
 H VFSEWPO               862-561-9065     2584
 H VFSEWPO               862-561-9065     6293
 H VFSEWPO               862-561-9065     1328
 H VFSEWPO               862-561-9065     4419
 H VFSEWPO               862-561-9065     5494
 H VFSEWPO               862-561-9065     3549
 HAKJRDHNGS WHNUWW       735-429-9792     6752
 HAKJRDHNGS WHNUWW       735-429-9792     4284
 HAKJRDHNGS WHNUWW       735-429-9792     1235
 HAKJRDHNGS WHNUWW       735-429-9792      540
 HAKJRDHNGS WHNUWW       735-429-9792     4878
 HAKJRDHNGS WHNUWW       735-429-9792     1787
 HAKJRDHNGS WHNUWW       735-429-9792     6158
 HBGMVATT QDAMRDA        433-129-7815      755
 HBGMVATT QDAMRDA        433-129-7815     2106
 HBGMVATT QDAMRDA        433-129-7815     7476
 HBGMVATT QDAMRDA        433-129-7815     7184
 HBGMVATT QDAMRDA        433-129-7815     2563
 HBGMVATT QDAMRDA        433-129-7815     6272
 HBGMVATT QDAMRDA        433-129-7815     7703
 HBGMVATT QDAMRDA        433-129-7815     4398
 HBGMVATT QDAMRDA        433-129-7815     5678
 HBGMVATT QDAMRDA        433-129-7815     6818
 HBGMVATT QDAMRDA        433-129-7815       60
 HBGMVATT QDAMRDA        433-129-7815     4943
 HBGMVATT QDAMRDA        433-129-7815     3528
 HBGMVATT QDAMRDA        433-129-7815     5473
 HBGMVATT QDAMRDA        433-129-7815     1307
 HBGMVATT QDAMRDA        433-129-7815     3061
 HBGMVATT QDAMRDA        433-129-7815     3804
 HDCH RHIT               241-812-1159     7455
 HDCH RHIT               241-812-1159     4922
 HDCH RHIT               241-812-1159     3040
 HDCH RHIT               241-812-1159     2085
 HDCH RHIT               241-812-1159     5657
 HDCH RHIT               241-812-1159     3783
 HDCH RHIT               241-812-1159     3507
 HDCH RHIT               241-812-1159       39
 HDCH RHIT               241-812-1159     4377
 HDCH RHIT               241-812-1159     7163
 HDCH RHIT               241-812-1159     6797
 HDCH RHIT               241-812-1159     1286
 HDCH RHIT               241-812-1159     7682
 HDCH RHIT               241-812-1159     2542
 HDCH RHIT               241-812-1159     6251
 HDCH RHIT               241-812-1159     5452
 HDCH RHIT               241-812-1159      734
 HFK QUJP                989-001-9416      610
 HFK QUJP                989-001-9416     1857
 HGEFBOBMVBYUQA UOWB     993-649-7613     5601
 HGEFBOBMVBYUQA UOWB     993-649-7613     3932
 HGEFBOBMVBYUQA UOWB     993-649-7613     5806
 HGEFBOBMVBYUQA UOWB     993-649-7613     2234
 HGEFBOBMVBYUQA UOWB     993-649-7613     7831
 HGEFBOBMVBYUQA UOWB     993-649-7613     2691
 HGEFBOBMVBYUQA UOWB     993-649-7613      883
 HGEFBOBMVBYUQA UOWB     993-649-7613     3189
 HGEFBOBMVBYUQA UOWB     993-649-7613     3656
 HGEFBOBMVBYUQA UOWB     993-649-7613     4526
 HGEFBOBMVBYUQA UOWB     993-649-7613     5071
